City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Naze,JP,78.71,broken clouds,28.3667,129.4833,
530,Envira,BR,88.9,scattered clouds,-7.3,-70.2167,
547,Lagdo,CM,78.12,overcast clouds,9.05,13.7333,
548,Trincomalee,LK,81.34,overcast clouds,8.5711,81.2335,
549,Post Falls,US,86.45,clear sky,47.718,-116.9516,
553,Planaltina,BR,79.09,few clouds,-15.4528,-47.6142,
554,Pozo Colorado,PY,76.64,clear sky,-23.4923,-58.7972,
557,Madison,US,85.68,scattered clouds,34.7334,-86.5667,
558,Labuhan,ID,77.23,few clouds,-6.8844,112.2051,
561,Vaitape,PF,77.14,broken clouds,-16.5167,-151.75,
563,Puerto Penasco,MX,89.91,overcast clouds,31.3167,-113.5333,
568,Ahuimanu,US,81.86,scattered clouds,21.4447,-157.8378,
569,Barinitas,VE,75.18,overcast clouds,8.7622,-70.4111,
574,Cockburn Town,TC,87.76,scattered clouds,21.4612,-71.1419,
578,Djambala,CG,80.67,overcast clouds,-2.5447,14.7533,
579,Axim,GH,76.32,clear sky,4.8699,-2.2405,
581,Madison Heights,US,77.25,clear sky,42.4859,-83.1052,
585,Abonnema,NG,80.89,overcast clouds,4.7084,6.7931,
587,Dosso,NE,85.23,overcast clouds,13.049,3.1937,
592,Wyndham,US,84.58,broken clouds,37.6985,-77.6125,
595,Hongjiang,CN,77.56,clear sky,27.11,109.9956,
596,Siddharthanagar,NP,77.59,moderate rain,27.5,83.45,
600,Tshikapa,CD,78.19,broken clouds,-6.4167,20.8,
604,Takoradi,GH,76.05,clear sky,4.8845,-1.7554,
606,Shache,CN,75.51,overcast clouds,38.4167,77.2406,
614,Manzanillo,CU,89.06,light rain,20.3433,-77.1167,
621,Dalbandin,PK,89.31,clear sky,28.8947,64.4101,
624,Acandi,CO,83.89,overcast clouds,8.5063,-77.2778,
630,Pointe Michel,DM,88.74,scattered clouds,15.25,-61.3833,
632,Gizo,SB,79.81,light rain,-8.103,156.8419,
634,Pacific Grove,US,81.28,scattered clouds,36.6177,-121.9166,
635,Kumluca,TR,89.76,clear sky,36.3703,30.2869,
636,Road Town,VG,86.04,few clouds,18.4167,-64.6167,
639,Nakamura,JP,75.92,moderate rain,32.9833,132.9333,
640,Kimparana,ML,80.22,broken clouds,12.8347,-4.9244,
641,Akdepe,TM,78.89,clear sky,42.0551,59.3788,
643,Marzuq,YE,81.28,overcast clouds,14.4,46.4667,
644,Zhanaozen,KZ,86.34,clear sky,43.3,52.8,
647,Krk,HR,81.59,broken clouds,45.0258,14.5731,
649,Orel-Izumrud,RU,78.82,broken clouds,43.4583,39.9244,
650,Aleksandrov Gay,RU,83.14,clear sky,50.147,48.5704,
654,Rudbar,AF,87.98,clear sky,30.15,62.6,
656,Ranong,TH,79.86,overcast clouds,9.9658,98.6348,
658,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,
659,Penalva,BR,87.87,overcast clouds,-3.2942,-45.1736,
661,Buala,SB,77.77,moderate rain,-8.145,159.5921,
662,Elat,IL,89.44,clear sky,29.5581,34.9482,
665,Banda Aceh,ID,79.68,overcast clouds,5.5577,95.3222,
668,Makasar,ID,75.25,few clouds,-5.14,119.4221,
670,Inuvik,CA,84.96,broken clouds,68.3499,-133.7218,
673,Sangod,IN,76.01,heavy intensity rain,24.9167,76.2833,
676,Ishigaki,JP,82.49,overcast clouds,24.3448,124.1572,
684,Muli,MV,82.63,overcast clouds,2.9167,73.5667,
685,Khasan,RU,75.65,overcast clouds,42.4308,130.6434,
690,Danshui,CN,85.01,overcast clouds,22.7984,114.4672,
691,Varzea Da Palma,BR,79.86,few clouds,-17.5981,-44.7308,
692,Buin,CL,82.72,clear sky,-33.7333,-70.75,
696,Pemangkat,ID,79.36,overcast clouds,1.1667,108.9667,
